Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
Bypass1,1,Active,,,,Button_Switch_SMD:Nidec_Copal_CAS-120A,~
"C1,C8,C10,C13",4,2.2uF,,,,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,
C2,1,100p,,,,Capacitor_THT:CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal,~
C3,1,33n,,,,Capacitor_THT:CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal,~
C4,1,8n,,,,Capacitor_THT:CP_Axial_L42.0mm_D32.0mm_P45.00mm_Horizontal,~
C5,1,5n,,,,Capacitor_THT:CP_Axial_L42.0mm_D32.0mm_P45.00mm_Horizontal,~
C6,1,2n,,,,Capacitor_THT:CP_Radial_D40.0mm_P10.00mm_SnapIn,~
"C7,C9,C11",3,100p,,,,Capacitor_THT:CP_Axial_L38.0mm_D21.0mm_P44.00mm_Horizontal,~
C12,1,2.2u,,,,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,
"D1,D2",2,1N4148,,,,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf
D3,1,LED,,,,Buzzer_Beeper:MagneticBuzzer_ProSignal_ABI-009-RC,~
J1,1,Screw_Terminal_01x01,,,,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,~
"R1,R21,R23",3,47K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
"R2,R20,R22",3,1K,,,,Resistor_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P25.40mm_Horizontal,~
R3,1,47K,,,,Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,~
R4,1,1K,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~
R5,1,82K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
R6,1,6K,,,,Resistor_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P25.40mm_Horizontal,~
R7,1,27K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
"R8,R24,R25,R26",4,22K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
"R9,R12",2,56K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
R10,1,10K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
R11,1,5K,,,,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,~
R13,1,18K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
R14,1,100K,,,,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,~
R15,1,33K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal,~
"R16,R17,R19",3,100K,,,,Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal,~
"RV1,RV2,RV3,RV4",4,100K,,,,Potentiometer_THT:Potentiometer_Bourns_3299Y_Vertical,~
"U4,U5,U6,U7,U8,U9,U10,U11",8,LMV321,,,,Package_SO:HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias,http://www.ti.com/lit/ds/symlink/lmv324.pdf
